,symbol,entry_dt,position_size,entry_price_0,qty_0,entry_price_1,qty_1,exit_dt,exit_type,profit_loss,fees,status,exit_price_0,exit_price_1
25,DOTUSDT_FILUSDT,2024-01-15 04:00:00,130600.0,7.605,-8586.45627876397,5.919,11032.268964352088,2024-01-18 08:00:00,exitcondition,1694.3693777901842,131.4471846888951,closed,7.34,5.864
26,AVAXUSDT_VETUSDT,2024-01-18 08:00:00,14300.0,35.879,199.28091641350093,0.03011,-237462.63699767517,2024-01-18 20:00:00,exitcondition,-94.12138282340027,14.252939308588301,closed,33.008,0.02811
27,DOTUSDT_VETUSDT,2024-01-18 08:00:00,14300.0,7.342,973.849087442114,0.03011,-237462.63699767517,2024-01-18 20:00:00,exitcondition,24.03314650965237,14.312016573254827,closed,6.882,0.02811
28,ADAUSDT_AVAXUSDT,2024-01-18 12:00:00,94800.0,0.5173,-91629.61531026484,35.256,1344.4520081688224,2024-01-18 20:00:00,exitcondition,-1338.411590355587,94.1307942048222,closed,0.4989,33.008
29,LINKUSDT_SOLUSDT,2024-01-12 12:00:00,143600.0,14.979,-4793.377395019695,98.253,730.7664905906181,2024-01-19 20:00:00,exitcondition,-5776.071937696892,140.71196403115155,closed,15.56,94.169
30,ADAUSDT_AVAXUSDT,2024-01-19 00:00:00,94800.0,0.5026,94309.59013131715,33.587,-1411.2603090481434,2024-01-19 20:00:00,exitcondition,785.918820134527,95.19295941006726,closed,0.4977,32.689
31,ADAUSDT_UNIUSDT,2024-01-18 20:00:00,36400.0,0.4993,-36451.03144402163,6.278,2899.012424338962,2024-01-20 08:00:00,exitcondition,255.1845090294301,36.527592254514715,closed,0.5144,6.56
32,ETHUSDT_LINKUSDT,2024-01-15 00:00:00,143600.0,2474.3,29.018308208382166,14.765,-4862.851337622757,2024-01-20 08:00:00,exitcondition,-7974.594930022187,139.6127025349889,closed,2478.91,16.433
33,AVAXUSDT_VETUSDT,2024-01-19 20:00:00,14300.0,32.728,218.46736739183572,0.02838,-251937.98449612403,2024-01-22 04:00:00,exitcondition,100.72561910338192,14.35036280955169,closed,32.153,0.0275
34,ETHUSDT_LINKUSDT,2024-01-20 16:00:00,143600.0,2464.34,-29.13559005656687,15.74,4561.626429479034,2024-01-22 08:00:00,exitcondition,1047.0142874763649,144.12350714373818,closed,2417.9,15.684
35,ADAUSDT_UNIUSDT,2024-01-20 12:00:00,36400.0,0.5162,-35257.652072839985,6.493,2803.0186354535654,2024-01-23 16:00:00,exitcondition,-459.81370394237007,36.17009314802881,closed,0.4672,5.709
36,AVAXUSDT_NEARUSDT,2024-01-08 04:00:00,44200.0,31.91,-692.5728611720464,3.011,7339.754234473597,2024-01-24 00:00:00,exitcondition,-1755.4681804448142,43.3222659097776,closed,30.575,2.649
37,ADAUSDT_UNIUSDT,2024-01-24 08:00:00,36400.0,0.4702,38706.93321990642,5.791,-3142.8078052149885,2024-01-24 20:00:00,exitcondition,36.92130773040578,36.4184606538652,closed,0.4723,5.805
38,DOTUSDT_FILUSDT,2024-01-24 08:00:00,130600.0,6.376,-10241.530740276035,4.858,13441.745574310416,2024-01-24 20:00:00,exitcondition,1374.905474187126,131.2874527370936,closed,6.34,4.933
39,DOTUSDT_VETUSDT,2024-01-24 04:00:00,14300.0,6.272,1139.987244897959,0.02656,-269201.8072289157,2024-01-25 04:00:00,exitcondition,143.76887332493195,14.371884436662466,closed,6.475,0.02687
40,ADAUSDT_AVAXUSDT,2024-01-24 12:00:00,94800.0,0.475,99789.47368421053,31.221,-1518.2088978572115,2024-01-25 08:00:00,exitcondition,975.5522952668481,95.28777614763342,closed,0.4748,30.542
41,FILUSDT_UNIUSDT,2024-01-10 12:00:00,36400.0,5.528,3292.32995658466,6.212,-2929.8132646490662,2024-01-25 20:00:00,exitcondition,-445.2775567199653,36.17736122164001,closed,4.965,5.733
42,AVAXUSDT_NEARUSDT,2024-01-26 08:00:00,44200.0,30.613,721.91552608369,2.746,-8048.069919883467,2024-01-26 20:00:00,exitcondition,314.4404815047829,44.3572202407524,closed,32.693,2.892
43,ADAUSDT_UNIUSDT,2024-01-26 20:00:00,36400.0,0.4829,37688.9625181197,5.951,-3058.3095278104524,2024-01-27 04:00:00,exitcondition,162.06253882791324,36.48103126941396,closed,0.487,5.949
44,AVAXUSDT_NEARUSDT,2024-01-27 00:00:00,44200.0,32.249,685.2925672113863,2.917,-7576.276996914638,2024-01-27 08:00:00,exitcondition,490.6303621780502,44.44531518108903,closed,32.051,2.834
45,DOTUSDT_FILUSDT,2024-01-25 04:00:00,130600.0,6.472,-10089.616810877626,4.964,13154.713940370668,2024-01-27 12:00:00,exitcondition,2058.635494472442,131.6293177472362,closed,6.637,5.253
46,DOTUSDT_FILUSDT,2024-01-27 16:00:00,130600.0,6.69,-9760.83707025411,5.255,12426.260704091343,2024-01-27 20:00:00,exitcondition,1517.7683720678933,131.35888418603395,closed,6.686,5.368
47,AVAXUSDT_NEARUSDT,2024-01-27 12:00:00,44200.0,32.312,683.9564248576381,2.891,-7644.413697682463,2024-01-28 00:00:00,exitcondition,497.6751791102147,44.44883758955511,closed,33.215,2.907
48,ADAUSDT_AVAXUSDT,2024-01-26 00:00:00,94800.0,0.4667,101564.17398757231,30.511,-1553.538068237685,2024-01-28 04:00:00,exitcondition,-5326.694733320989,92.13665263333951,closed,0.4958,35.813
49,AVAXUSDT_VETUSDT,2024-01-22 12:00:00,14300.0,31.196,229.19605077574047,0.0271,-263837.63837638375,2024-01-28 04:00:00,exitcondition,696.4449304930278,14.648222465246516,closed,35.813,0.0285
50,AVAXUSDT_DOTUSDT,2024-01-01 00:00:00,101600.0,38.59,1316.4032132676857,8.208,-6189.083820662768,2024-01-28 04:00:00,exitcondition,5533.870263281649,104.36693513164084,closed,35.813,6.729
51,ADAUSDT_UNIUSDT,2024-01-28 00:00:00,36400.0,0.4861,37440.85579098951,5.986,-3040.4276645506184,2024-01-28 08:00:00,exitcondition,266.2948030764791,36.533147401538244,closed,0.4935,5.987
52,DOTUSDT_VETUSDT,2024-01-26 00:00:00,14300.0,6.44,1110.248447204969,0.02704,-264423.07692307694,2024-01-29 00:00:00,exitcondition,218.80599020544645,14.409402995102724,closed,6.834,0.02792
53,ADAUSDT_UNIUSDT,2024-01-29 04:00:00,36400.0,0.4937,36864.49260684626,6.029,-3018.742743406867,2024-01-29 16:00:00,exitcondition,253.59365121109815,36.52679682560555,closed,0.4989,6.001
54,AVAXUSDT_DOTUSDT,2024-01-29 00:00:00,101600.0,34.815,1459.1411747809852,6.867,-7397.699140818407,2024-01-29 16:00:00,exitcondition,1830.6028839825985,102.51530144199131,closed,35.766,6.821
55,DOTUSDT_VETUSDT,2024-01-29 16:00:00,14300.0,6.82,1048.3870967741934,0.02843,-251494.8997537812,2024-01-29 20:00:00,exitcondition,216.32414929708483,14.408162074648544,closed,7.111,0.02881
56,DOTUSDT_FILUSDT,2024-01-28 12:00:00,130600.0,6.73,-9702.823179791976,5.271,12388.541073800037,2024-01-29 20:00:00,exitcondition,-3181.308317991029,129.0093458410045,closed,7.111,5.319
57,ADAUSDT_VETUSDT,2024-01-08 20:00:00,14300.0,0.542,-13191.881918819186,0.03186,224419.3345888261,2024-01-30 04:00:00,exitcondition,-510.9216695274293,14.044539165236285,closed,0.5311,0.02893
58,ADAUSDT_AVAXUSDT,2024-01-30 04:00:00,94800.0,0.5305,-89349.67012252592,35.736,1326.3935527199465,2024-01-30 12:00:00,exitcondition,1718.3358467910148,95.6591679233955,closed,0.5291,36.951
59,ADAUSDT_UNIUSDT,2024-01-30 16:00:00,36400.0,0.522,34865.90038314176,6.247,-2913.398431246999,2024-01-31 20:00:00,exitcondition,141.31768382923372,36.47065884191461,closed,0.5127,6.084
60,LINKUSDT_SOLUSDT,2024-01-25 04:00:00,143600.0,14.008,5125.642490005711,88.321,-812.9436940252035,2024-02-01 16:00:00,exitcondition,7555.634956675844,147.37781747833793,closed,16.718,96.08
61,DOTUSDT_VETUSDT,2024-01-30 08:00:00,14300.0,7.01,1019.9714693295293,0.02924,-244528.0437756498,2024-02-01 16:00:00,exitcondition,48.999443339688646,14.324499721669845,closed,6.729,0.02787
